wavelength,irradiance 
1478.34,0.31145
1483.68,0.30850
1489.01,0.30572
1494.33,0.30327
1499.65,0.30107
1504.95,0.29940
1510.25,0.29787
1515.54,0.29608
1520.82,0.29420
1526.09,0.29214
1531.36,0.28965
1536.61,0.28693
1541.86,0.28393
1547.09,0.28051
1552.32,0.27694
1557.54,0.27314
1562.75,0.26954
1567.95,0.26618
1573.14,0.26331
1578.32,0.26100
1583.49,0.25885
1588.65,0.25688
1593.80,0.25519
1598.95,0.25353
1601.18,0.25263
1616.86,0.24694
1632.42,0.24047
1647.91,0.23560
1663.31,0.22868
1678.61,0.22262
1693.82,0.21666
1708.93,0.20958
1723.95,0.20213
1738.86,0.19650
1753.69,0.19189
1768.43,0.18621
1783.07,0.18020
1797.62,0.17425
1812.08,0.16885
1826.44,0.16516
1840.72,0.16072
1854.90,0.15564
1869.00,0.15107
1883.00,0.14831
1896.92,0.14635
1910.75,0.14210
1924.48,0.13685
1938.13,0.13295
1951.71,0.12983
1965.19,0.12804
1978.59,0.12546
1991.92,0.12361
2005.15,0.12127
2018.31,0.11799
2031.38,0.11561
2044.38,0.11300
2057.30,0.10973
2070.13,0.10782
2082.89,0.10452
2095.58,0.10229
2108.19,0.10146
2120.73,0.098584
2133.20,0.096618
2145.59,0.094265
2157.91,0.092289
2170.15,0.089707
2182.34,0.089357
2194.44,0.088758
